,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Dummy_Baseline,0.5964912280701754,0.4473684210526316,0.40476190476190477,0.425,0.556547619047619,0.40037593984962405
L2_SMOTE,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,0.9964569160997734
Baseline_NoSMOTE,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.994273631904294
